id,college_id,program_name,duration,college_name
524,210,Ten Plus Two Science,2 Years,Nepal Kasthamandap College
527,210,Ten Plus Two Management,2 Years,Nepal Kasthamandap College
530,210,Ten Plus Two Humanities,2 Years,Nepal Kasthamandap College
533,210,Ten Plus Two Law,2 Years,Nepal Kasthamandap College
536,210,Master of Business Administration,2 Years,Nepal Kasthamandap College
539,214,BSc Computer Science and Information Technology,830000.00,College of Applied Business and Technology
543,214,Bachelor of Business Administration,830000.00,College of Applied Business and Technology
546,214,Bachelor of Information Technology Management,535000.00,College of Applied Business and Technology
549,214,Bachelor of Business Studies,4 Years,College of Applied Business and Technology
552,220,Ten Plus Two Science,2 Years,NAMI College
556,220,Ten Plus Two Management,2 Years,NAMI College
559,220,GCE A Level Non-Science,2 Years,NAMI College
562,220,GCE A Level Science,2 Years,NAMI College
565,220,Bachelor of Business Administration,3 Years,NAMI College
568,220,BSc (Hons) Environment Science,3 Years,NAMI College
571,220,BSc (Hons) Computer Science,3 Years,NAMI College
574,220,MSc Computing,2 Years,NAMI College
577,221,Ten Plus Two Science,2 Years,GoldenGate International College
581,221,Ten Plus Two Management,2 Years,GoldenGate International College
584,221,Ten Plus Two Humanities,2 Years,GoldenGate International College
587,221,Bachelor of Computer Application,4 Years,GoldenGate International College
590,221,Bachelor of Business Management,4 Years,GoldenGate International College
593,221,Bachelor of Business Studies,4 Years,GoldenGate International College
596,221,Bachelor of Hotel Management,4 Years,GoldenGate International College
599,221,Bachelor of Food Technology,4 Years,GoldenGate International College
602,221,BSc Physics,4 Years,GoldenGate International College
605,221,BSc Microbiology,4 Years,GoldenGate International College
608,221,BSc Environmental Science,4 Years,GoldenGate International College
611,221,Bachelor of Arts in Social Work,4 Years,GoldenGate International College
614,221,Bachelor of Arts,4 Years,GoldenGate International College
617,221,Master of Business Studies,2 Years,GoldenGate International College
620,221,MSc Physics,2 Years,GoldenGate International College
623,221,MSc Microbiology,2 Years,GoldenGate International College
626,221,MSc Environmental Science,2 Years,GoldenGate International College
629,221,Master of Arts in English,2 Years,GoldenGate International College
632,221,Master of Arts in Economics,2 Years,GoldenGate International College
635,225,Bachelor of Computer Application,4 Years,Advanced College of Engineering and Management
639,225,"Bachelor of Electronics, Communication and Information Engineering",4 Years,Advanced College of Engineering and Management
642,225,Bachelor of Computer Engineering,4 Years,Advanced College of Engineering and Management
645,225,Bachelor of Electrical Engineering,4 Years,Advanced College of Engineering and Management
648,225,Bachelor of Civil Engineering,4 Years,Advanced College of Engineering and Management
651,226,Master of Business Studies,2 Years,Kathmandu BernHardt College
655,226,Bachelor of Business Management,4 Years,Kathmandu BernHardt College
658,226,Bachelor of Computer Application,4 Years,Kathmandu BernHardt College
661,226,Bachelor of Arts in Social Work,4 Years,Kathmandu BernHardt College
664,226,Bachelor of Business Studies,4 Years,Kathmandu BernHardt College
667,226,BSc Computer Science and Information Technology,4 Years,Kathmandu BernHardt College
670,226,Ten Plus Two Science,2 Years,Kathmandu BernHardt College
673,226,Ten Plus Two Management,2 Years,Kathmandu BernHardt College
676,226,Ten Plus Two Humanities,2 Years,Kathmandu BernHardt College
679,229,Bachelor of Business Studies,4 Years,Divya Gyan College
683,229,Bachelor of Computer Application,4 Years,Divya Gyan College
686,231,Master of Information Technology,2 Years,College of Information Technology and Engineering
690,231,Bachelor of Business Administration,4 Years,College of Information Technology and Engineering
693,231,Bachelor of Computer Engineering,4 Years,College of Information Technology and Engineering
696,231,Bachelor of Information Technology,4 Years,College of Information Technology and Engineering
699,231,Bachelor of Computer Application,4 Years,College of Information Technology and Engineering
702,232,Bachelor of Information Technology (Hons),4 Years,Mid-Valley International College
706,232,Bachelor of Business in Hospitality Management (Hons),4 Years,Mid-Valley International College
709,232,Bachelor of Business Finance (Hons),4 Years,Mid-Valley International College
712,233,Master of Business Studies,2 Years,People's Campus
716,233,Bachelor of Business Management,4 Years,People's Campus
719,233,Bachelor of Business Studies,4 Years,People's Campus
722,233,Bachelor of Business Administration,4 Years,People's Campus
725,233,Ten Plus Two Management,2 Years,People's Campus
728,235,Ten Plus Two Science,2 Years,KIST College
732,235,Ten Plus Two Management,2 Years,KIST College
735,235,Master of Information Technology,2 Years,KIST College
738,235,MSc Microbiology,2 Years,KIST College
741,235,Master of Business Studies,2 Years,KIST College
744,235,BSc Microbiology,4 Years,KIST College
747,235,Bachelor of Business Studies,4 Years,KIST College
750,235,Bachelor of Information Technology,4 Years,KIST College
753,235,Bachelor of Information Technology Management,4 Years,KIST College
756,235,Bachelor of Business Administration,4 Years,KIST College
759,239,Bachelor of Information Technology,4 Years,Phoenix College of Management
763,239,BSc (Hons) in Hospitality Management,4 Years,Phoenix College of Management
766,239,Bachelor (Hons) of Business Administration,4 Years,Phoenix College of Management
769,239,Master of Computer Science,2 Years,Phoenix College of Management
772,239,Master of Business Administration,2 Years,Phoenix College of Management
775,247,Bachelor of Architecture,5 Years,Kathmandu Engineering College
779,247,Bachelor of Electrical Engineering,4 Years,Kathmandu Engineering College
782,247,Bachelor of Computer Engineering,4 Years,Kathmandu Engineering College
785,247,"Bachelor of Electronics, Communication and Information Engineering",4 Years,Kathmandu Engineering College
788,247,Bachelor of Civil Engineering,4 Years,Kathmandu Engineering College
791,251,Ten Plus Two Science,2 Years,Orient College
795,251,Ten Plus Two Management,2 Years,Orient College
798,251,GCE A Level Non-Science,2 Years,Orient College
801,251,GCE A Level Science,2 Years,Orient College
804,251,Bachelor of Arts in Social Work,4 Years,Orient College
807,251,Bachelor of Business Studies,4 Years,Orient College
810,254,MSc Electrical Power Engineering,2 Years,Hillside College of Engineering
814,254,MSc Construction Management,2 Years,Hillside College of Engineering
817,254,Bachelor of Electrical Engineering,4 Years,Hillside College of Engineering
820,254,Bachelor of Civil Engineering,4 Years,Hillside College of Engineering
823,257,Bachelor of Science (General),4 Years,Canvas International College
827,257,Ten Plus Two Science,2 Years,Canvas International College
830,257,Ten Plus Two Humanities,2 Years,Canvas International College
833,257,Ten Plus Two Law,2 Years,Canvas International College
836,257,Ten Plus Two Management,2 Years,Canvas International College
839,257,Master of Business Studies,2 Years,Canvas International College
842,257,Bachelor of Arts in Social Work,4 Years,Canvas International College
845,257,Bachelor of Business Studies,4 Years,Canvas International College
848,258,Master of Travel and Tourism Management,2 Years,Public Youth Campus
852,258,Master of Business Management,2 Years,Public Youth Campus
855,258,Master of Business Studies,2 Years,Public Youth Campus
858,258,Bachelor of Business Management,4 Years,Public Youth Campus
861,258,Bachelor of Business Studies,4 Years,Public Youth Campus
864,258,Bachelor of Business Administration,4 Years,Public Youth Campus
867,260,Bachelor of Computer Application,4 Years,National College of Computer Studies
871,260,Bachelor of Business Management,4 Years,National College of Computer Studies
874,260,BSc Computer Science and Information Technology,4 Years,National College of Computer Studies
877,260,Bachelor of Hotel Management,4 Years,National College of Computer Studies
880,260,Bachelor of Information Technology Management,4 Years,National College of Computer Studies
883,262,Bachelor of Computer Application,4 Years,Kantipur College of Management and Information Technology
887,262,Bachelor of Information Technology Management,4 Years,Kantipur College of Management and Information Technology
890,262,Bachelor of Business Administration,4 Years,Kantipur College of Management and Information Technology
893,264,Master of Business Administration,2 Years,Apollo International College
897,264,Bachelor of Computer System Information Technology,4 Years,Apollo International College
900,264,Bachelor of Hotel Management,4 Years,Apollo International College
903,264,BBA  Finance,4 Years,Apollo International College
906,264,Bachelor of Business Administration,4 Years,Apollo International College
909,266,Bachelor of Business Administration,4 Years,Camad College
913,266,Bachelor of Development Studies,4 Years,Camad College
916,266,Bachelor of Hotel Management,4 Years,Camad College
919,266,Bachelor of Computer Application,4 Years,Camad College
922,268,BBA  Finance,4 Years,Malpi International College
926,268,Bachelor of Business Administration,4 Years,Malpi International College
929,268,Bachelor of Computer System Information Technology,4 Years,Malpi International College
932,268,Master of Business Administration,2 Years,Malpi International College
935,272,Ten Plus Two Management,2 Years,Texas International College
939,272,Ten Plus Two Science,2 Years,Texas International College
942,272,Master of Business Studies,2 Years,Texas International College
945,272,Bachelor of Arts,4 Years,Texas International College
948,272,Bachelor of Business Management,4 Years,Texas International College
951,272,Bachelor of Arts in Social Work,4 Years,Texas International College
954,272,Bachelor of Business Studies,4 Years,Texas International College
957,272,BSc Computer Science and Information Technology,4 Years,Texas International College
960,272,Bachelor of Computer Application,4 Years,Texas International College
963,273,Ten Plus Two Management,2 Years,VS Niketan College
967,273,Ten Plus Two Science,2 Years,VS Niketan College
970,273,Executive MBA,1.5 Years,VS Niketan College
973,273,Bachelor of Business Administration,4 Years,VS Niketan College
976,275,Ten Plus Two Management,88000.00,New Millennium College
980,275,Master of Arts in English,50000.00,New Millennium College
983,275,Bachelor of Business Studies,50000.00,New Millennium College
986,275,Bachelor of Arts,45000.00,New Millennium College
989,275,Ten Plus Two Science,98000.00,New Millennium College
992,276,Bachelor of Arts in Sociology,4 Years,Thames International College
996,276,Bachelor of Arts in Psychology,4 Years,Thames International College
999,276,Bachelor of Business Management,4 Years,Thames International College
1002,276,Bachelor of Computer Application,4 Years,Thames International College
1005,276,Bachelor of Arts in Social Work,4 Years,Thames International College
1008,276,Bachelor of Information Technology Management,4 Years,Thames International College
1011,276,Bachelor of Business Administration,4 Years,Thames International College
1014,277,Ten Plus Two Management,2 Years,Ashirwad College
1018,277,Bachelor of Business Management,4 Years,Ashirwad College
1021,277,Bachelor of Business Studies,4 Years,Ashirwad College
1024,279,Master of Business Studies,2 Years,Xavier International College
1028,279,Bachelor of Arts in Social Work,4 Years,Xavier International College
1031,279,Bachelor of Business Management,4 Years,Xavier International College
1034,279,Bachelor of Business Studies,4 Years,Xavier International College
1037,279,Bachelor of Computer Application,4 Years,Xavier International College
1040,279,BSc Environmental Science,4 Years,Xavier International College
1043,279,BSc Microbiology,4 Years,Xavier International College
1046,279,GCE A Level Non-Science,2 Years,Xavier International College
1049,279,Ten Plus Two Science,2 Years,Xavier International College
1052,279,Ten Plus Two Management,2 Years,Xavier International College
1055,279,Ten Plus Two Humanities,2 Years,Xavier International College
1058,279,GCE A Level Science,2 Years,Xavier International College
1061,279,Ten Plus Two Law,2 Years,Xavier International College
1064,280,Masters of Business Administration,2 Years,Nepal Mega College
1068,280,Bachelor of Business Administration,4 Years,Nepal Mega College
1071,280,Master of Business Studies,2 Years,Nepal Mega College
1074,280,Bachelor of Arts in Rural Development,4 Years,Nepal Mega College
1077,280,Bachelor of Computer Application,4 Years,Nepal Mega College
1080,280,Bachelor of Arts in Social Work,4 Years,Nepal Mega College
1083,280,Bachelor of Business Management,4 Years,Nepal Mega College
1086,280,Bachelor of Business Studies,4 Years,Nepal Mega College
1089,280,Ten Plus Two Science,2 Years,Nepal Mega College
1092,280,Ten Plus Two Management,2 Years,Nepal Mega College
1095,280,Ten Plus Two Law,2 Years,Nepal Mega College
1098,282,Ten Plus Two Humanities,2 Years,Triton International College
1102,282,Ten Plus Two Science,2 Years,Triton International College
1105,282,Ten Plus Two Management,2 Years,Triton International College
1108,282,Ten Plus Two Law,2 Years,Triton International College
1111,282,Master of Business Studies,2 Years,Triton International College
1114,282,Bachelor of Computer Application,4 Years,Triton International College
1117,282,Bachelor of Business Studies,4 Years,Triton International College
1120,282,Bachelor of Arts in Social Work,4 Years,Triton International College
1123,283,Master of Business Administration,2 Years,Uniglobe College
1127,283,MBA Finance,2 Years,Uniglobe College
1130,283,Bachelor of Computer System Information Technology,4 Years,Uniglobe College
1133,283,BBA  Finance,4 Years,Uniglobe College
1136,283,Bachelor of Business Administration,4 Years,Uniglobe College
1139,285,BSc Information Technology,4 Years,King’s College
1143,285,BSc Computer Science,4 Years,King’s College
1146,285,Bachelor of Business Administration,4 Years,King’s College
1149,285,Master of Business Administration,2 Years,King’s College
1152,286,Ten Plus Two Science,2 Years,Madan Bhandari Memorial College
1156,286,Ten Plus Two Humanities,2 Years,Madan Bhandari Memorial College
1159,286,Ten Plus Two Management,2 Years,Madan Bhandari Memorial College
1162,286,BSc Computer Science and Information Technology,4 Years,Madan Bhandari Memorial College
1165,286,Bachelor of Computer Application,4 Years,Madan Bhandari Memorial College
1168,286,Bachelor of Business Management,4 Years,Madan Bhandari Memorial College
1171,286,Bachelor of Business Studies,4 Years,Madan Bhandari Memorial College
1174,286,Bachelor of Arts,4 Years,Madan Bhandari Memorial College
1177,286,Bachelor of Arts in Social Work,4 Years,Madan Bhandari Memorial College
1180,286,Master of Arts in English,2 Years,Madan Bhandari Memorial College
1183,286,Master of Arts in Journalism and Mass Communication,2 Years,Madan Bhandari Memorial College
1186,286,Master of Arts in Sociology,2 Years,Madan Bhandari Memorial College
1189,290,Bachelor of Hotel Management,4 Years,Morgan International College
1193,290,Ten Plus Two Science,2 Years,Morgan International College
1196,290,Ten Plus Two Management,2 Years,Morgan International College
1199,290,Ten Plus Two Humanities,2 Years,Morgan International College
1202,290,Bachelor of Arts in Social Work,4 Years,Morgan International College
1208,290,Bachelor of Business Management,4 Years,Morgan International College
1211,290,Bachelor of Computer Application,4 Years,Morgan International College
1214,290,Master of Business Studies,2 Years,Morgan International College
1217,290,Bachelor of Business Studies,4 Years,Morgan International College
1220,290,Bachelor of Information Technology Management,4 Years,Morgan International College
1223,291,BSc Zoology,4 Years,Trichandra Multiple Campus
1227,291,BSc Statistics,4 Years,Trichandra Multiple Campus
1230,291,BSc Mathematics,4 Years,Trichandra Multiple Campus
1233,291,BSc Meteorology,4 Years,Trichandra Multiple Campus
1236,291,BSc Botany,4 Years,Trichandra Multiple Campus
1239,291,BSc Chemistry,4 Years,Trichandra Multiple Campus
1242,291,Bachelor of Arts in Social Work,4 Years,Trichandra Multiple Campus
1245,291,Master of Arts in Economics,2 Years,Trichandra Multiple Campus
1248,291,Master of Arts in Anthropology,2 Years,Trichandra Multiple Campus
1251,291,MSc Engineering Geology,2 Years,Trichandra Multiple Campus
1254,291,Master of Arts in Psychology,2 Years,Trichandra Multiple Campus
1257,291,Bachelor of Arts,4 Years,Trichandra Multiple Campus
1260,291,Bachelor of Arts in Rural Development,4 Years,Trichandra Multiple Campus
1263,291,Master of Arts in Sociology,2 Years,Trichandra Multiple Campus
1266,291,Master of Arts in Nepali,2 Years,Trichandra Multiple Campus
1269,291,BSc Geology,4 Years,Trichandra Multiple Campus
1272,291,BSc Physics,4 Years,Trichandra Multiple Campus
1275,291,BSc Environmental Science,4 Years,Trichandra Multiple Campus
1278,291,MSc Chemistry,2 Years,Trichandra Multiple Campus
1281,291,MSc Microbiology,2 Years,Trichandra Multiple Campus
1284,293,BSc (Hons) Cybersecurity,3 Years,Herald College
1288,293,BSc (Hons) in Computer Science,3 Years,Herald College
1291,293,BSc (Hons) International Business Management,4 Years,Herald College
1294,293,International Master of Business Administration,2 Years,Herald College
1297,294,MSc Informatics and Intelligent Systems Engineering,2 Years,Thapathali Campus
1301,294,Bachelor of Computer Engineering,4 Years,Thapathali Campus
1304,294,MSc Mechanical Engineering in Design and Manufacturing,2 Years,Thapathali Campus
1307,294,Bachelor of Mechanical Engineering,4 Years,Thapathali Campus
1310,294,Bachelor in Automobile Engineering,4 Years,Thapathali Campus
1313,294,MSc Earthquake Engineering,2 Years,Thapathali Campus
1316,294,Bachelor of Architecture,5 Years,Thapathali Campus
1319,294,Bachelor of Civil Engineering,4 Years,Thapathali Campus
1405,300,Bachelor of Business Management,4 Years,Trinity International College
1322,294,"Bachelor of Electronics, Communication and Information Engineering",4 Years,Thapathali Campus
1325,294,Bachelor in Industrial Engineering,4 Years,Thapathali Campus
1328,296,Master of Business Administration,2 Years,Excel Business College
1332,296,BBA  Finance,4 Years,Excel Business College
1335,296,Bachelor of Business Administration,4 Years,Excel Business College
1338,296,Bachelor of Computer System Information Technology,4 Years,Excel Business College
1341,297,MA Mass Communication and Journalism,2 Years,Kantipur City College
1345,297,Master of Computer Application,2 Years,Kantipur City College
1348,297,PGD Computer Application,1 Year,Kantipur City College
1351,297,Bachelor of Business Administration,4 Years,Kantipur City College
1354,297,Bachelor of Computer Engineering,4 Years,Kantipur City College
1357,297,Bachelor of Civil Engineering,4 Years,Kantipur City College
1360,297,Bachelor of Computer Application,4 Years,Kantipur City College
1363,297,Bachelor of Information Technology,4 Years,Kantipur City College
1366,298,Bachelor of Information Technology,4 Years,National College of Management and Technical Science
1370,298,Bachelor of Computer Science (Hons) Network Technology & Cyber Security,4 Years,National College of Management and Technical Science
1373,298,Bachelor (Hons) of Business Administration,4 Years,National College of Management and Technical Science
1376,298,BSc (Hons) in Hospitality Management,4 Years,National College of Management and Technical Science
1379,298,Master of Business Administration,2 Years,National College of Management and Technical Science
1382,300,GCE A Level Science,2 Years,Trinity International College
1386,300,GCE A Level Non-Science,2 Years,Trinity International College
1389,300,Ten Plus Two Science,2 Years,Trinity International College
1392,300,Ten Plus Two Management,2 Years,Trinity International College
1395,300,Ten Plus Two Humanities,2 Years,Trinity International College
1398,300,BSc Computer Science and Information Technology,4 Years,Trinity International College
1401,300,Bachelor of Computer Application,4 Years,Trinity International College
1407,300,Bachelor of Business Studies,4 Years,Trinity International College
1410,300,Bachelor of Arts in Social Work,4 Years,Trinity International College
1413,303,Bachelor of Computer System Information Technology,4 Years,Medhavi College
1417,303,Bachelor of Hotel Management,4 Years,Medhavi College
1420,303,Bachelor of Business Administration,4 Years,Medhavi College
1423,303,Master of Business Administration,2 Years,Medhavi College
1426,303,Master of Computer Information Systems,2 Years,Medhavi College
1429,304,Bachelor of Computer Application,4 Years,Ratna Rajya Laxmi Campus
1433,304,"Bachelor of Arts in Nepalese History, Culture and Archaeology",4 Years,Ratna Rajya Laxmi Campus
1436,304,Master of Arts in Population Studies,2 Years,Ratna Rajya Laxmi Campus
1439,304,Master of Arts in Journalism and Mass Communication,2 Years,Ratna Rajya Laxmi Campus
1442,304,Bachelor of Arts in Major English,4 Years,Ratna Rajya Laxmi Campus
1445,304,Master of Arts in Nepali,2 Years,Ratna Rajya Laxmi Campus
1448,305,MBA (Global Business),2 Years,SAIM College
