id,college_id,program_name,duration,college_name
62,164,Bachelor of Arts in Social Work,4 Years,St Lawrence College
63,164,Bachelor of Arts in Social Work,,St Lawrence College
64,164,Bachelor of Business Studies,4 Years,St Lawrence College
65,164,Bachelor of Business Studies,4 Years,St Lawrence College
66,164,Bachelor of Business Studies,,St Lawrence College
67,164,Bachelor of Computer Application,4 Years,St Lawrence College
68,164,Bachelor of Computer Application,4 Years,St Lawrence College
69,164,Bachelor of Computer Application,,St Lawrence College
70,164,BSc Computer Science and Information Technology,4 Years,St Lawrence College
71,164,BSc Computer Science and Information Technology,4 Years,St Lawrence College
72,164,BSc Computer Science and Information Technology,,St Lawrence College
73,166,Ten Plus Two Science,2 Years,Pentagon International College
74,166,Ten Plus Two Science,2 Years,Pentagon International College
75,166,Ten Plus Two Science,2 Years,Pentagon International College
76,166,Ten Plus Two Science,,Pentagon International College
77,166,Ten Plus Two Management,2 Years,Pentagon International College
78,166,Ten Plus Two Management,2 Years,Pentagon International College
79,166,Ten Plus Two Management,,Pentagon International College
80,166,Ten Plus Two Humanities,2 Years,Pentagon International College
81,166,Ten Plus Two Humanities,2 Years,Pentagon International College
82,166,Ten Plus Two Humanities,,Pentagon International College
83,166,Bachelor of Arts,4 Years,Pentagon International College
84,166,Bachelor of Arts,4 Years,Pentagon International College
85,166,Bachelor of Arts,,Pentagon International College
86,166,Bachelor of Arts in Social Work,4 Years,Pentagon International College
87,166,Bachelor of Arts in Social Work,4 Years,Pentagon International College
88,166,Bachelor of Arts in Social Work,,Pentagon International College
89,166,Bachelor of Business Studies,4 Years,Pentagon International College
90,166,Bachelor of Business Studies,4 Years,Pentagon International College
91,166,Bachelor of Business Studies,,Pentagon International College
92,168,Ten Plus Two Science,2 Years,College of Business Management
93,168,Ten Plus Two Science,2 Years,College of Business Management
94,168,Ten Plus Two Science,2 Years,College of Business Management
95,168,Ten Plus Two Science,,College of Business Management
96,168,Ten Plus Two Management,2 Years,College of Business Management
97,168,Ten Plus Two Management,2 Years,College of Business Management
98,168,Ten Plus Two Management,,College of Business Management
99,168,Bachelor of Business Management,4 Years,College of Business Management
100,168,Bachelor of Business Management,4 Years,College of Business Management
101,168,Bachelor of Business Management,,College of Business Management
102,168,Bachelor of Business Studies,4 Years,College of Business Management
103,168,Bachelor of Business Studies,4 Years,College of Business Management
104,168,Bachelor of Business Studies,,College of Business Management
105,168,Master of Business Studies,2 Years,College of Business Management
106,168,Master of Business Studies,2 Years,College of Business Management
107,168,Master of Business Studies,,College of Business Management
108,168,CAP-I,6 Months,College of Business Management
109,168,CAP-I,6 Months,College of Business Management
110,168,CAP-I,,College of Business Management
111,168,CAP-II,9 Months,College of Business Management
112,168,CAP-II,9 Months,College of Business Management
113,168,CAP-II,,College of Business Management
114,168,CAP-III,3 Years,College of Business Management
115,168,CAP-III,3 Years,College of Business Management
116,168,CAP-III,,College of Business Management
117,169,Ten Plus Two Science,2 Years,Manaslu World College
118,169,Ten Plus Two Science,2 Years,Manaslu World College
119,169,Ten Plus Two Science,2 Years,Manaslu World College
120,169,Ten Plus Two Science,,Manaslu World College
121,169,Ten Plus Two Management,2 Years,Manaslu World College
122,169,Ten Plus Two Management,2 Years,Manaslu World College
123,169,Ten Plus Two Management,,Manaslu World College
124,169,Ten Plus Two Humanities,2 Years,Manaslu World College
125,169,Ten Plus Two Humanities,2 Years,Manaslu World College
126,169,Ten Plus Two Humanities,,Manaslu World College
127,169,Ten Plus Two Law,2 Years,Manaslu World College
128,169,Ten Plus Two Law,2 Years,Manaslu World College
129,169,Ten Plus Two Law,,Manaslu World College
130,169,Bachelor of Business Studies,4 Years,Manaslu World College
131,169,Bachelor of Business Studies,4 Years,Manaslu World College
132,169,Bachelor of Business Studies,,Manaslu World College
133,170,Ten Plus Two Science,2 Years,Herald International College
134,170,Ten Plus Two Science,2 Years,Herald International College
135,170,Ten Plus Two Science,2 Years,Herald International College
136,170,Ten Plus Two Science,,Herald International College
137,170,Ten Plus Two Management,2 Years,Herald International College
138,170,Ten Plus Two Management,2 Years,Herald International College
139,170,Ten Plus Two Management,,Herald International College
140,170,Ten Plus Two Humanities,2 Years,Herald International College
141,170,Ten Plus Two Humanities,2 Years,Herald International College
142,170,Ten Plus Two Humanities,,Herald International College
143,170,Ten Plus Two Law,2 Years,Herald International College
144,170,Ten Plus Two Law,2 Years,Herald International College
145,170,Ten Plus Two Law,,Herald International College
146,170,Bachelor of Business Studies,4 Years,Herald International College
147,170,Bachelor of Business Studies,4 Years,Herald International College
148,170,Bachelor of Business Studies,,Herald International College
149,170,Bachelor of Arts in Social Work,4 Years,Herald International College
150,170,Bachelor of Arts in Social Work,4 Years,Herald International College
151,170,Bachelor of Arts in Social Work,,Herald International College
152,171,CAP-I,6 Months,Premier College
153,171,CAP-I,6 Months,Premier College
154,171,CAP-I,6 Months,Premier College
155,171,CAP-I,,Premier College
156,171,CAP-II,9 Months,Premier College
157,171,CAP-II,9 Months,Premier College
158,171,CAP-II,,Premier College
159,171,CAP-III,3 Years,Premier College
160,171,CAP-III,3 Years,Premier College
161,171,CAP-III,,Premier College
162,171,Ten Plus Two Science,2 Years,Premier College
163,171,Ten Plus Two Science,2 Years,Premier College
164,171,Ten Plus Two Science,,Premier College
165,171,Ten Plus Two Management,2 Years,Premier College
166,171,Ten Plus Two Management,2 Years,Premier College
167,171,Ten Plus Two Management,,Premier College
168,171,Ten Plus Two Humanities,2 Years,Premier College
169,171,Ten Plus Two Humanities,2 Years,Premier College
170,171,Ten Plus Two Humanities,,Premier College
171,171,Bachelor of Business Management,4 Years,Premier College
172,171,Bachelor of Business Management,4 Years,Premier College
173,171,Bachelor of Business Management,,Premier College
174,171,Bachelor of Arts in Social Work,4 Years,Premier College
175,171,Bachelor of Arts in Social Work,4 Years,Premier College
176,171,Bachelor of Arts in Social Work,,Premier College
177,171,Bachelor of Business Studies,4 Years,Premier College
178,171,Bachelor of Business Studies,4 Years,Premier College
179,171,Bachelor of Business Studies,,Premier College
180,171,Master of Business Studies,2 Years,Premier College
181,171,Master of Business Studies,2 Years,Premier College
182,171,Master of Business Studies,,Premier College
183,174,BSc (Hons) Computer Science,957000.00,Stamford College Kathmandu
184,174,BSc (Hons) Computer Science,957000.00,Stamford College Kathmandu
185,174,BSc (Hons) Computer Science,957000.00,Stamford College Kathmandu
186,174,BSc (Hons) Computer Science,,Stamford College Kathmandu
187,176,Master of Business Administration,465850.00,School of Management - Tribhuvan University
188,176,Master of Business Administration,465850.00,School of Management - Tribhuvan University
189,176,Master of Business Administration,465850.00,School of Management - Tribhuvan University
190,176,Master of Business Administration,,School of Management - Tribhuvan University
191,176,MBA in Global Leadership and Management,563900.00,School of Management - Tribhuvan University
192,176,MBA in Global Leadership and Management,563900.00,School of Management - Tribhuvan University
193,176,MBA in Global Leadership and Management,,School of Management - Tribhuvan University
194,176,MBA in Information Technology,556600.00,School of Management - Tribhuvan University
195,176,MBA in Information Technology,556600.00,School of Management - Tribhuvan University
196,176,MBA in Information Technology,,School of Management - Tribhuvan University
197,176,MBA Finance and Control,465850.00,School of Management - Tribhuvan University
198,176,MBA Finance and Control,465850.00,School of Management - Tribhuvan University
199,176,MBA Finance and Control,,School of Management - Tribhuvan University
200,177,ACCA,3 Years,The British College
201,177,ACCA,3 Years,The British College
202,177,ACCA,3 Years,The British College
203,177,ACCA,,The British College
204,177,GCE A Level Science,2 Years,The British College
205,177,GCE A Level Science,2 Years,The British College
206,177,GCE A Level Science,,The British College
207,177,GCE A Level Non-Science,2 Years,The British College
208,177,GCE A Level Non-Science,2 Years,The British College
209,177,GCE A Level Non-Science,,The British College
210,177,BSc (Hons) Computing,4 Years,The British College
211,177,BSc (Hons) Computing,4 Years,The British College
212,177,BSc (Hons) Computing,,The British College
213,177,BSc (Hons) Data Science,4 Years,The British College
214,177,BSc (Hons) Data Science,4 Years,The British College
215,177,BSc (Hons) Data Science,,The British College
216,177,BSc (Hons) Cyber Security and Digital Forensics,4 Years,The British College
217,177,BSc (Hons) Cyber Security and Digital Forensics,4 Years,The British College
218,177,BSc (Hons) Cyber Security and Digital Forensics,,The British College
219,177,BSc (Hons) Computer Science - Artificial Intelligence,4 Years,The British College
220,177,BSc (Hons) Computer Science - Artificial Intelligence,4 Years,The British College
221,177,BSc (Hons) Computer Science - Artificial Intelligence,,The British College
222,177,BSc (Hons) Hospitality Business Management,4 Years,The British College
223,177,BSc (Hons) Hospitality Business Management,4 Years,The British College
224,177,BSc (Hons) Hospitality Business Management,,The British College
225,177,MSc Advanced Computer Science,2 Years,The British College
226,177,MSc Advanced Computer Science,2 Years,The British College
227,177,MSc Advanced Computer Science,,The British College
228,177,MSc Information and Technology,2 Years,The British College
229,177,MSc Information and Technology,2 Years,The British College
230,177,MSc Information and Technology,,The British College
231,177,MBA Executive,2 Years,The British College
232,177,MBA Executive,2 Years,The British College
233,177,MBA Executive,,The British College
234,177,MBA Graduate,2 Years,The British College
235,177,MBA Graduate,2 Years,The British College
236,177,MBA Graduate,,The British College
237,178,MBA - Evening Shift,2 Years,Apex College
238,178,MBA - Evening Shift,2 Years,Apex College
239,178,MBA - Evening Shift,2 Years,Apex College
240,178,MBA - Evening Shift,,Apex College
241,178,Master of Business Administration,2 Years,Apex College
242,178,Master of Business Administration,2 Years,Apex College
243,178,Master of Business Administration,,Apex College
244,178,BBA Travel and Tourism,4 Years,Apex College
245,178,BBA Travel and Tourism,4 Years,Apex College
246,178,BBA Travel and Tourism,,Apex College
247,178,Bachelor of Computer System Information Technology,4 Years,Apex College
248,178,Bachelor of Computer System Information Technology,4 Years,Apex College
249,178,Bachelor of Computer System Information Technology,,Apex College
344,187,MD Psychiatry,,Maharajgunj Medical Campus
250,178,BBA  Finance,4 Years,Apex College
251,178,BBA  Finance,4 Years,Apex College
252,178,BBA  Finance,,Apex College
253,178,Bachelor of Business Administration,4 Years,Apex College
254,178,Bachelor of Business Administration,4 Years,Apex College
255,178,Bachelor of Business Administration,,Apex College
256,183,MBBS,5.5 Years,Nepalese Army Institute of Health Sciences
257,183,MBBS,5.5 Years,Nepalese Army Institute of Health Sciences
258,183,MBBS,5.5 Years,Nepalese Army Institute of Health Sciences
259,183,MBBS,,Nepalese Army Institute of Health Sciences
260,183,MS Clinical Otorhinolaryngology and Head and Neck Surgery,3 Years,Nepalese Army Institute of Health Sciences
261,183,MS Clinical Otorhinolaryngology and Head and Neck Surgery,3 Years,Nepalese Army Institute of Health Sciences
262,183,MS Clinical Otorhinolaryngology and Head and Neck Surgery,,Nepalese Army Institute of Health Sciences
263,183,MD Paediatrics,3 Years,Nepalese Army Institute of Health Sciences
264,183,MD Paediatrics,3 Years,Nepalese Army Institute of Health Sciences
265,183,MD Paediatrics,,Nepalese Army Institute of Health Sciences
266,183,MD Pathology,3 Years,Nepalese Army Institute of Health Sciences
267,183,MD Pathology,3 Years,Nepalese Army Institute of Health Sciences
268,183,MD Pathology,,Nepalese Army Institute of Health Sciences
269,183,MD Dermatology,3 Years,Nepalese Army Institute of Health Sciences
270,183,MD Dermatology,3 Years,Nepalese Army Institute of Health Sciences
271,183,MD Dermatology,,Nepalese Army Institute of Health Sciences
272,183,MD Internal Medicine,3 Years,Nepalese Army Institute of Health Sciences
273,183,MD Internal Medicine,3 Years,Nepalese Army Institute of Health Sciences
274,183,MD Internal Medicine,,Nepalese Army Institute of Health Sciences
275,183,MS Orthopaedic and Trauma Surgery,3 Years,Nepalese Army Institute of Health Sciences
276,183,MS Orthopaedic and Trauma Surgery,3 Years,Nepalese Army Institute of Health Sciences
277,183,MS Orthopaedic and Trauma Surgery,,Nepalese Army Institute of Health Sciences
278,183,MD General Practice,3 Years,Nepalese Army Institute of Health Sciences
279,183,MD General Practice,3 Years,Nepalese Army Institute of Health Sciences
280,183,MD General Practice,,Nepalese Army Institute of Health Sciences
281,183,MS Clinical Anatomy,3 Years,Nepalese Army Institute of Health Sciences
282,183,MS Clinical Anatomy,3 Years,Nepalese Army Institute of Health Sciences
283,183,MS Clinical Anatomy,,Nepalese Army Institute of Health Sciences
284,183,MD Obstetrics and Gynaecology,3 Years,Nepalese Army Institute of Health Sciences
285,183,MD Obstetrics and Gynaecology,3 Years,Nepalese Army Institute of Health Sciences
286,183,MD Obstetrics and Gynaecology,,Nepalese Army Institute of Health Sciences
287,183,MD Ophthalmology,3 Years,Nepalese Army Institute of Health Sciences
288,183,MD Ophthalmology,3 Years,Nepalese Army Institute of Health Sciences
289,183,MD Ophthalmology,,Nepalese Army Institute of Health Sciences
290,183,MD Psychiatry,3 Years,Nepalese Army Institute of Health Sciences
291,183,MD Psychiatry,3 Years,Nepalese Army Institute of Health Sciences
292,183,MD Psychiatry,,Nepalese Army Institute of Health Sciences
293,183,MD Radio Diagnosis,3 Years,Nepalese Army Institute of Health Sciences
294,183,MD Radio Diagnosis,3 Years,Nepalese Army Institute of Health Sciences
295,183,MD Radio Diagnosis,,Nepalese Army Institute of Health Sciences
296,183,MD Clinical Pharmacology,3 Years,Nepalese Army Institute of Health Sciences
297,183,MD Clinical Pharmacology,3 Years,Nepalese Army Institute of Health Sciences
298,183,MD Clinical Pharmacology,,Nepalese Army Institute of Health Sciences
299,183,MD Clinical Physiology,3 Years,Nepalese Army Institute of Health Sciences
300,183,MD Clinical Physiology,3 Years,Nepalese Army Institute of Health Sciences
301,183,MD Clinical Physiology,,Nepalese Army Institute of Health Sciences
302,183,MD Microbiology,3 Years,Nepalese Army Institute of Health Sciences
303,183,MD Microbiology,3 Years,Nepalese Army Institute of Health Sciences
304,183,MD Microbiology,,Nepalese Army Institute of Health Sciences
305,183,MS General Surgery,3 Years,Nepalese Army Institute of Health Sciences
306,183,MS General Surgery,3 Years,Nepalese Army Institute of Health Sciences
307,183,MS General Surgery,,Nepalese Army Institute of Health Sciences
308,183,Bachelor of Public Health,4 Years,Nepalese Army Institute of Health Sciences
309,183,Bachelor of Public Health,4 Years,Nepalese Army Institute of Health Sciences
310,183,Bachelor of Public Health,,Nepalese Army Institute of Health Sciences
311,183,Bachelor of Science in Medical Laboratory Technology,4 Years,Nepalese Army Institute of Health Sciences
312,183,Bachelor of Science in Medical Laboratory Technology,4 Years,Nepalese Army Institute of Health Sciences
313,183,Bachelor of Science in Medical Laboratory Technology,,Nepalese Army Institute of Health Sciences
314,187,Master of Dental Surgery,3 Years,Maharajgunj Medical Campus
315,187,Master of Dental Surgery,3 Years,Maharajgunj Medical Campus
316,187,Master of Dental Surgery,3 Years,Maharajgunj Medical Campus
317,187,Master of Dental Surgery,,Maharajgunj Medical Campus
318,187,MD Radio Diagnosis,3 Years,Maharajgunj Medical Campus
319,187,MD Radio Diagnosis,3 Years,Maharajgunj Medical Campus
320,187,MD Radio Diagnosis,,Maharajgunj Medical Campus
321,187,MS Clinical Otorhinolaryngology and Head and Neck Surgery,3 Years,Maharajgunj Medical Campus
322,187,MS Clinical Otorhinolaryngology and Head and Neck Surgery,3 Years,Maharajgunj Medical Campus
323,187,MS Clinical Otorhinolaryngology and Head and Neck Surgery,,Maharajgunj Medical Campus
324,187,MD Ophthalmology,3 Years,Maharajgunj Medical Campus
325,187,MD Ophthalmology,3 Years,Maharajgunj Medical Campus
326,187,MD Ophthalmology,,Maharajgunj Medical Campus
327,187,MD Obstetrics and Gynaecology,3 Years,Maharajgunj Medical Campus
328,187,MD Obstetrics and Gynaecology,3 Years,Maharajgunj Medical Campus
329,187,MD Obstetrics and Gynaecology,,Maharajgunj Medical Campus
330,187,MD Internal Medicine,3 Years,Maharajgunj Medical Campus
331,187,MD Internal Medicine,3 Years,Maharajgunj Medical Campus
332,187,MD Internal Medicine,,Maharajgunj Medical Campus
333,187,MD Biochemistry,3 Years,Maharajgunj Medical Campus
334,187,MD Biochemistry,3 Years,Maharajgunj Medical Campus
335,187,MD Biochemistry,,Maharajgunj Medical Campus
336,187,MS Orthopaedic and Trauma Surgery,3 Years,Maharajgunj Medical Campus
337,187,MS Orthopaedic and Trauma Surgery,3 Years,Maharajgunj Medical Campus
338,187,MS Orthopaedic and Trauma Surgery,,Maharajgunj Medical Campus
339,187,MS General Surgery,3 Years,Maharajgunj Medical Campus
340,187,MS General Surgery,3 Years,Maharajgunj Medical Campus
341,187,MS General Surgery,,Maharajgunj Medical Campus
342,187,MD Psychiatry,3 Years,Maharajgunj Medical Campus
343,187,MD Psychiatry,3 Years,Maharajgunj Medical Campus
345,187,MD Pathology,3 Years,Maharajgunj Medical Campus
346,187,MD Pathology,3 Years,Maharajgunj Medical Campus
347,187,MD Pathology,,Maharajgunj Medical Campus
348,187,MD Microbiology,3 Years,Maharajgunj Medical Campus
349,187,MD Microbiology,3 Years,Maharajgunj Medical Campus
350,187,MD Microbiology,,Maharajgunj Medical Campus
351,187,MD Paediatrics,3 Years,Maharajgunj Medical Campus
352,187,MD Paediatrics,3 Years,Maharajgunj Medical Campus
353,187,MD Paediatrics,,Maharajgunj Medical Campus
354,187,MD Forensic Medicine,3 Years,Maharajgunj Medical Campus
355,187,MD Forensic Medicine,3 Years,Maharajgunj Medical Campus
356,187,MD Forensic Medicine,,Maharajgunj Medical Campus
357,187,MD Dermatology,3 Years,Maharajgunj Medical Campus
358,187,MD Dermatology,3 Years,Maharajgunj Medical Campus
359,187,MD Dermatology,,Maharajgunj Medical Campus
360,187,MSc Medical Imaging Technology,2 Years,Maharajgunj Medical Campus
361,187,MSc Medical Imaging Technology,2 Years,Maharajgunj Medical Campus
362,187,MSc Medical Imaging Technology,,Maharajgunj Medical Campus
363,187,MSc Clinical Biochemistry,3 Years,Maharajgunj Medical Campus
364,187,MSc Clinical Biochemistry,3 Years,Maharajgunj Medical Campus
365,187,MSc Clinical Biochemistry,,Maharajgunj Medical Campus
366,187,MSc Clinical Microbiology,3 Years,Maharajgunj Medical Campus
367,187,MSc Clinical Microbiology,3 Years,Maharajgunj Medical Campus
368,187,MSc Clinical Microbiology,,Maharajgunj Medical Campus
369,187,MDS Orthodontics,3 Years,Maharajgunj Medical Campus
370,187,MDS Orthodontics,3 Years,Maharajgunj Medical Campus
371,187,MDS Orthodontics,,Maharajgunj Medical Campus
372,187,MS Clinical Anatomy,3 Years,Maharajgunj Medical Campus
373,187,MS Clinical Anatomy,3 Years,Maharajgunj Medical Campus
374,187,MS Clinical Anatomy,,Maharajgunj Medical Campus
375,188,Bachelor of Computer Application,4 Years,Arunima College
376,188,Bachelor of Computer Application,4 Years,Arunima College
377,188,Bachelor of Computer Application,4 Years,Arunima College
378,188,Bachelor of Computer Application,,Arunima College
379,188,Bachelor of Business Studies,4 Years,Arunima College
380,188,Bachelor of Business Studies,4 Years,Arunima College
381,188,Bachelor of Business Studies,,Arunima College
382,192,Master of Arts in Social Work,2 Years,Kadambari Memorial College
383,192,Master of Arts in Social Work,2 Years,Kadambari Memorial College
384,192,Master of Arts in Social Work,2 Years,Kadambari Memorial College
385,192,Master of Arts in Social Work,,Kadambari Memorial College
386,192,Bachelor of Arts in Social Work,4 Years,Kadambari Memorial College
387,192,Bachelor of Arts in Social Work,4 Years,Kadambari Memorial College
388,192,Bachelor of Arts in Social Work,,Kadambari Memorial College
389,196,Ten Plus Two Science,2 Years,Jubilant College
390,196,Ten Plus Two Science,2 Years,Jubilant College
391,196,Ten Plus Two Science,2 Years,Jubilant College
392,196,Ten Plus Two Science,,Jubilant College
393,196,Ten Plus Two Management,2 Years,Jubilant College
394,196,Ten Plus Two Management,2 Years,Jubilant College
395,196,Ten Plus Two Management,,Jubilant College
396,196,Ten Plus Two Humanities,2 Years,Jubilant College
397,196,Ten Plus Two Humanities,2 Years,Jubilant College
398,196,Ten Plus Two Humanities,,Jubilant College
399,196,Ten Plus Two Law,2 Years,Jubilant College
400,196,Ten Plus Two Law,2 Years,Jubilant College
401,196,Ten Plus Two Law,,Jubilant College
402,196,Bachelor of Business Studies,4 Years,Jubilant College
403,196,Bachelor of Business Studies,4 Years,Jubilant College
404,196,Bachelor of Business Studies,,Jubilant College
405,197,Bachelor of Business Administration,4 Years,Ace International Business School
406,197,Bachelor of Business Administration,4 Years,Ace International Business School
407,197,Bachelor of Business Administration,4 Years,Ace International Business School
408,197,Bachelor of Business Administration,,Ace International Business School
409,197,Global MBA,2 Years,Ace International Business School
410,197,Global MBA,2 Years,Ace International Business School
411,197,Global MBA,,Ace International Business School
412,199,Master of Business Administration,2 Years,SANN International College
413,199,Master of Business Administration,2 Years,SANN International College
414,199,Master of Business Administration,2 Years,SANN International College
415,199,Master of Business Administration,,SANN International College
416,199,Bachelor of Arts in Bachelor of Laws,5 Years,SANN International College
417,199,Bachelor of Arts in Bachelor of Laws,5 Years,SANN International College
418,199,Bachelor of Arts in Bachelor of Laws,,SANN International College
419,199,Bachelor of Business Administration,4 Years,SANN International College
420,199,Bachelor of Business Administration,4 Years,SANN International College
421,199,Bachelor of Business Administration,,SANN International College
422,199,BSc Biotechnology,4 Years,SANN International College
423,199,BSc Biotechnology,4 Years,SANN International College
424,199,BSc Biotechnology,,SANN International College
425,199,Ten Plus Two Management,2 Years,SANN International College
426,199,Ten Plus Two Management,2 Years,SANN International College
427,199,Ten Plus Two Management,,SANN International College
428,199,Ten Plus Two Science,2 Years,SANN International College
429,199,Ten Plus Two Science,2 Years,SANN International College
430,199,Ten Plus Two Science,,SANN International College
431,199,Ten Plus Two Humanities,2 Years,SANN International College
432,199,Ten Plus Two Humanities,2 Years,SANN International College
433,199,Ten Plus Two Humanities,,SANN International College
434,199,Ten Plus Two Law,2 Years,SANN International College
435,199,Ten Plus Two Law,2 Years,SANN International College
436,199,Ten Plus Two Law,,SANN International College
437,199,Ten Plus Two Humanities,2 Years,SANN International College
438,199,Ten Plus Two Humanities,2 Years,SANN International College
439,199,Ten Plus Two Humanities,,SANN International College
440,200,ACCA,3 Years,Seed Financial Academy
441,200,ACCA,3 Years,Seed Financial Academy
442,200,ACCA,3 Years,Seed Financial Academy
443,200,ACCA,,Seed Financial Academy
444,201,Bachelor of Public Health,4 Years,Little Buddha College of Health Science
445,201,Bachelor of Public Health,4 Years,Little Buddha College of Health Science
446,201,Bachelor of Public Health,4 Years,Little Buddha College of Health Science
447,201,Bachelor of Public Health,,Little Buddha College of Health Science
448,201,Bachelor of Pharmacy,4 Years,Little Buddha College of Health Science
449,201,Bachelor of Pharmacy,4 Years,Little Buddha College of Health Science
450,201,Bachelor of Pharmacy,,Little Buddha College of Health Science
451,204,Ten Plus Two Management,2 Years,Global College of Management
452,204,Ten Plus Two Management,2 Years,Global College of Management
453,204,Ten Plus Two Management,2 Years,Global College of Management
454,204,Ten Plus Two Management,,Global College of Management
455,204,Bachelor of Business Studies,4 Years,Global College of Management
456,204,Bachelor of Business Studies,4 Years,Global College of Management
457,204,Bachelor of Business Studies,,Global College of Management
458,204,Master of Business Studies,2 Years,Global College of Management
459,204,Master of Business Studies,2 Years,Global College of Management
460,204,Master of Business Studies,,Global College of Management
461,206,Ten Plus Two Science,2 Years,Capital College and Research Center
462,206,Ten Plus Two Science,2 Years,Capital College and Research Center
463,206,Ten Plus Two Science,2 Years,Capital College and Research Center
464,206,Ten Plus Two Science,,Capital College and Research Center
465,206,Ten Plus Two Management,2 Years,Capital College and Research Center
466,206,Ten Plus Two Management,2 Years,Capital College and Research Center
467,206,Ten Plus Two Management,,Capital College and Research Center
468,206,Ten Plus Two Law,2 Years,Capital College and Research Center
469,206,Ten Plus Two Law,2 Years,Capital College and Research Center
470,206,Ten Plus Two Law,,Capital College and Research Center
471,209,Ten Plus Two Science,2 Years,Himalaya College
472,209,Ten Plus Two Science,2 Years,Himalaya College
473,209,Ten Plus Two Science,2 Years,Himalaya College
474,209,Ten Plus Two Science,,Himalaya College
475,209,Ten Plus Two Management,2 Years,Himalaya College
476,209,Ten Plus Two Management,2 Years,Himalaya College
477,209,Ten Plus Two Management,,Himalaya College
478,209,Ten Plus Two Humanities,2 Years,Himalaya College
479,209,Ten Plus Two Humanities,2 Years,Himalaya College
480,209,Ten Plus Two Humanities,,Himalaya College
481,209,Ten Plus Two Law,2 Years,Himalaya College
482,209,Ten Plus Two Law,2 Years,Himalaya College
483,209,Ten Plus Two Law,,Himalaya College
484,209,Ten Plus Two Education,2 Years,Himalaya College
485,209,Ten Plus Two Education,2 Years,Himalaya College
486,209,Ten Plus Two Education,,Himalaya College
487,209,Master of Business Studies,2 Years,Himalaya College
488,209,Master of Business Studies,2 Years,Himalaya College
